,runtime,training_steps,i_fps,t_fps,actors,envs,prefetchers,inferencers,storers,used_gpus,total_envs,setup
676,474.494341135025,197120.0,435.0,415.0,8.0,32.0,2.0,2.0,8.0,1.0,256.0,"08 actors, 32 envs, 2 prefetchers, 2 inferencers, 08 storers"
683,474.1294448375702,197120.0,435.0,415.0,8.0,32.0,1.0,1.0,8.0,1.0,256.0,"08 actors, 32 envs, 1 prefetchers, 1 inferencers, 08 storers"
683,475.90165066719055,197120.0,438.0,414.0,8.0,64.0,1.0,1.0,8.0,1.0,512.0,"08 actors, 64 envs, 1 prefetchers, 1 inferencers, 08 storers"
656,475.3595104217529,197120.0,432.0,414.0,16.0,4.0,2.0,1.0,10.0,1.0,64.0,"16 actors, 04 envs, 2 prefetchers, 1 inferencers, 10 storers"
681,475.2699415683746,197120.0,438.0,414.0,16.0,32.0,2.0,1.0,8.0,1.0,512.0,"16 actors, 32 envs, 2 prefetchers, 1 inferencers, 08 storers"
666,476.15214109420776,197120.0,431.0,413.0,16.0,8.0,2.0,2.0,8.0,1.0,128.0,"16 actors, 08 envs, 2 prefetchers, 2 inferencers, 08 storers"
650,478.85078477859497,197120.0,420.0,411.0,16.0,4.0,2.0,2.0,10.0,1.0,64.0,"16 actors, 04 envs, 2 prefetchers, 2 inferencers, 10 storers"
676,479.76779890060425,197120.0,428.0,410.0,8.0,16.0,2.0,2.0,8.0,1.0,128.0,"08 actors, 16 envs, 2 prefetchers, 2 inferencers, 08 storers"
649,481.0262725353241,197120.0,417.0,409.0,8.0,8.0,2.0,2.0,8.0,1.0,64.0,"08 actors, 08 envs, 2 prefetchers, 2 inferencers, 08 storers"
683,481.4386525154114,197120.0,433.0,409.0,8.0,64.0,2.0,1.0,8.0,1.0,512.0,"08 actors, 64 envs, 2 prefetchers, 1 inferencers, 08 storers"
680,482.8553111553192,197120.0,426.0,408.0,8.0,32.0,1.0,2.0,8.0,1.0,256.0,"08 actors, 32 envs, 1 prefetchers, 2 inferencers, 08 storers"
675,483.8809051513672,197120.0,426.0,407.0,16.0,16.0,1.0,2.0,8.0,1.0,256.0,"16 actors, 16 envs, 1 prefetchers, 2 inferencers, 08 storers"
673,485.30611062049866,197120.0,427.0,406.0,16.0,16.0,2.0,1.0,8.0,1.0,256.0,"16 actors, 16 envs, 2 prefetchers, 1 inferencers, 08 storers"
685,486.82477402687067,197440.0,426.0,405.0,8.0,64.0,2.0,2.0,8.0,1.0,512.0,"08 actors, 64 envs, 2 prefetchers, 2 inferencers, 08 storers"
616,486.4675004482269,197440.0,406.0,405.0,1.0,8.0,1.0,1.0,1.0,1.0,8.0,"01 actors, 08 envs, 1 prefetchers, 1 inferencers, 01 storers"
676,487.2115280628204,197120.0,422.0,404.0,16.0,8.0,1.0,1.0,10.0,1.0,128.0,"16 actors, 08 envs, 1 prefetchers, 1 inferencers, 10 storers"
656,489.48916578292847,197440.0,410.0,403.0,16.0,4.0,1.0,1.0,10.0,1.0,64.0,"16 actors, 04 envs, 1 prefetchers, 1 inferencers, 10 storers"
616,491.7105028629303,197120.0,404.0,400.0,8.0,4.0,1.0,2.0,8.0,1.0,32.0,"08 actors, 04 envs, 1 prefetchers, 2 inferencers, 08 storers"
656,494.55888891220087,197440.0,407.0,399.0,16.0,4.0,2.0,1.0,12.0,1.0,64.0,"16 actors, 04 envs, 2 prefetchers, 1 inferencers, 12 storers"
658,498.8064656257629,197120.0,409.0,395.0,16.0,8.0,1.0,2.0,10.0,1.0,128.0,"16 actors, 08 envs, 1 prefetchers, 2 inferencers, 10 storers"
683,499.32317185401917,197120.0,417.0,394.0,8.0,64.0,1.0,2.0,8.0,1.0,512.0,"08 actors, 64 envs, 1 prefetchers, 2 inferencers, 08 storers"
616,499.3161828517914,197120.0,400.0,394.0,8.0,4.0,2.0,2.0,8.0,1.0,32.0,"08 actors, 04 envs, 2 prefetchers, 2 inferencers, 08 storers"
680,499.43307876586914,197120.0,417.0,394.0,16.0,32.0,1.0,2.0,8.0,1.0,512.0,"16 actors, 32 envs, 1 prefetchers, 2 inferencers, 08 storers"
675,500.3306879997253,197120.0,411.0,393.0,16.0,8.0,2.0,1.0,10.0,1.0,128.0,"16 actors, 08 envs, 2 prefetchers, 1 inferencers, 10 storers"
656,505.03100109100336,197440.0,397.0,390.0,16.0,4.0,1.0,1.0,12.0,1.0,64.0,"16 actors, 04 envs, 1 prefetchers, 1 inferencers, 12 storers"
676,504.69739055633545,197120.0,414.0,390.0,16.0,32.0,2.0,2.0,8.0,1.0,512.0,"16 actors, 32 envs, 2 prefetchers, 2 inferencers, 08 storers"
644,505.77220010757446,197120.0,396.0,389.0,16.0,4.0,1.0,2.0,10.0,1.0,64.0,"16 actors, 04 envs, 1 prefetchers, 2 inferencers, 10 storers"
656,515.2210586071013,197120.0,398.0,382.0,16.0,4.0,2.0,2.0,12.0,1.0,64.0,"16 actors, 04 envs, 2 prefetchers, 2 inferencers, 12 storers"
686,527.6686444282532,197120.0,391.0,373.0,16.0,16.0,1.0,1.0,10.0,1.0,256.0,"16 actors, 16 envs, 1 prefetchers, 1 inferencers, 10 storers"
651,529.9020881652832,197120.0,388.0,371.0,16.0,8.0,2.0,2.0,10.0,1.0,128.0,"16 actors, 08 envs, 2 prefetchers, 2 inferencers, 10 storers"
470,369.02379322052,136320.0,396.0,369.0,16.0,16.0,2.0,1.0,10.0,1.0,256.0,"16 actors, 16 envs, 2 prefetchers, 1 inferencers, 10 storers"
657,535.0144891738892,197440.0,375.0,369.0,16.0,4.0,1.0,2.0,12.0,1.0,64.0,"16 actors, 04 envs, 1 prefetchers, 2 inferencers, 12 storers"
670,539.639101266861,197120.0,382.0,365.0,16.0,16.0,2.0,2.0,10.0,1.0,256.0,"16 actors, 16 envs, 2 prefetchers, 2 inferencers, 10 storers"
692,543.0198187828064,197120.0,389.0,363.0,16.0,32.0,2.0,1.0,10.0,1.0,512.0,"16 actors, 32 envs, 2 prefetchers, 1 inferencers, 10 storers"
669,542.706889629364,197120.0,380.0,363.0,16.0,16.0,1.0,2.0,10.0,1.0,256.0,"16 actors, 16 envs, 1 prefetchers, 2 inferencers, 10 storers"
689,551.6427924633026,197120.0,380.0,357.0,16.0,32.0,1.0,1.0,10.0,1.0,512.0,"16 actors, 32 envs, 1 prefetchers, 1 inferencers, 10 storers"
686,562.1772775650023,197120.0,373.0,350.0,16.0,32.0,2.0,2.0,10.0,1.0,512.0,"16 actors, 32 envs, 2 prefetchers, 2 inferencers, 10 storers"
678,564.3945229053497,197120.0,370.0,349.0,16.0,16.0,2.0,1.0,12.0,1.0,256.0,"16 actors, 16 envs, 2 prefetchers, 1 inferencers, 12 storers"
688,565.7019104957579,197120.0,370.0,348.0,16.0,32.0,1.0,2.0,10.0,1.0,512.0,"16 actors, 32 envs, 1 prefetchers, 2 inferencers, 10 storers"
688,569.0331606864928,197120.0,364.0,346.0,16.0,16.0,1.0,1.0,12.0,1.0,256.0,"16 actors, 16 envs, 1 prefetchers, 1 inferencers, 12 storers"
680,569.2006356716156,197120.0,361.0,346.0,16.0,8.0,1.0,1.0,12.0,1.0,128.0,"16 actors, 08 envs, 1 prefetchers, 1 inferencers, 12 storers"
693,572.7737212181091,197120.0,369.0,344.0,16.0,32.0,2.0,1.0,12.0,1.0,512.0,"16 actors, 32 envs, 2 prefetchers, 1 inferencers, 12 storers"
673,582.4459393024446,197120.0,356.0,338.0,16.0,16.0,2.0,2.0,12.0,1.0,256.0,"16 actors, 16 envs, 2 prefetchers, 2 inferencers, 12 storers"
674,586.1816771030426,197120.0,353.0,336.0,16.0,16.0,1.0,2.0,12.0,1.0,256.0,"16 actors, 16 envs, 1 prefetchers, 2 inferencers, 12 storers"
682,586.4672100543977,197120.0,351.0,336.0,16.0,8.0,2.0,1.0,12.0,1.0,128.0,"16 actors, 08 envs, 2 prefetchers, 1 inferencers, 12 storers"
694,589.9611186981201,197120.0,357.0,334.0,16.0,32.0,1.0,1.0,12.0,1.0,512.0,"16 actors, 32 envs, 1 prefetchers, 1 inferencers, 12 storers"
688,601.9824097156525,197440.0,349.0,327.0,16.0,32.0,1.0,2.0,12.0,1.0,512.0,"16 actors, 32 envs, 1 prefetchers, 2 inferencers, 12 storers"
693,604.5525283813478,197120.0,347.0,326.0,16.0,32.0,2.0,2.0,12.0,1.0,512.0,"16 actors, 32 envs, 2 prefetchers, 2 inferencers, 12 storers"
616,618.2806944847108,197440.0,319.0,319.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,"01 actors, 04 envs, 1 prefetchers, 1 inferencers, 01 storers"
673,620.905170917511,197120.0,331.0,317.0,16.0,8.0,2.0,2.0,12.0,1.0,128.0,"16 actors, 08 envs, 2 prefetchers, 2 inferencers, 12 storers"
674,624.8981740474701,197120.0,328.0,315.0,16.0,8.0,1.0,2.0,12.0,1.0,128.0,"16 actors, 08 envs, 1 prefetchers, 2 inferencers, 12 storers"
